L,kappa,lambda,eps_2,eps,acceptance_rate,delta_H_abs_mean,delta_H_abs_std,N_steps,N_trajectories,batch_size,seed
8,0.85,0.5,1.4649382061914714e-06,0.0012103463166348181,1.0,2.397460650745131e-06,1.969499607953866e-06,826,100,100,47007
8,0.85,0.5,2.1460439479594814e-06,0.0014649382061914698,1.0,3.2990721230319764e-06,2.5377083624229828e-06,683,100,100,68900
8,0.85,0.5,3.1438217715318246e-06,0.0017730825619614629,1.0,5.07303690160228e-06,3.952193984370608e-06,564,100,100,19878
8,0.85,0.5,4.605504626573514e-06,0.0021460439479594807,1.0,7.163244089007038e-06,5.601108102149619e-06,466,100,100,2552
8,0.85,0.5,6.7467796862591274e-06,0.002597456387749201,1.0,1.0750291563272185e-05,8.411385038309482e-06,385,100,100,89355
8,0.85,0.5,9.883615331157482e-06,0.0031438217715318217,1.0,1.5602859146497395e-05,1.2178802961398423e-05,318,100,100,67604
8,0.85,0.5,1.4478885713912363e-05,0.0038051131013298886,1.0,2.21129243250644e-05,1.752840448075393e-05,263,100,100,22642
8,0.85,0.5,2.1210672865390052e-05,0.004605504626573515,1.0,3.429349404472788e-05,2.6663483708819335e-05,217,100,100,68416
8,0.85,0.5,3.1072325059538616e-05,0.005574255561017867,1.0,4.7788576804879315e-05,3.7076422377013006e-05,179,100,100,1391
8,0.85,0.5,4.55190361349187e-05,0.0067467796862591195,1.0,6.956530876613698e-05,5.443066113074733e-05,148,100,100,80105
8,0.85,0.5,6.668257514305255e-05,0.008165939942410338,0.9998999834060669,0.00010712740411432122,8.287325254138458e-05,122,100,100,80152
8,0.85,0.5,9.768585201429122e-05,0.009883615331157482,1.0,0.00015476712654443361,0.00012145331170017478,101,100,100,42845
8,0.85,0.5,0.00014310373682010125,0.011962597411101873,1.0,0.00023027149477752715,0.00018148515570979933,84,100,100,82189
8,0.85,0.5,0.0002096381315165353,0.014478885713912355,0.9998999834060669,0.00033520638867193074,0.0002635691504679629,69,100,100,10307
8,0.85,0.5,0.0003071069083331647,0.0175244659928103,0.9997999668121338,0.0004857319995902103,0.00038122519875672875,57,100,100,83864
8,0.85,0.5,0.00044989264340259425,0.02121067286539006,0.9994999766349792,0.000712326312388295,0.0005646261176488203,47,100,100,2750
8,0.85,0.5,0.000659064922004935,0.02567225977597093,0.9994999766349792,0.001042824825941915,0.0008144936761799217,39,100,100,2405
8,0.85,0.5,0.0009654893846056303,0.031072325059538598,0.9995999932289124,0.0015280513166706115,0.0012152713981996555,32,100,100,49378
8,0.85,0.5,0.0014143822871810778,0.03760827418509227,0.9993000030517578,0.002281087867458443,0.001792490981526169,27,100,100,38341
8,0.85,0.5,0.002071982650652037,0.04551903613491873,0.9980999827384949,0.003120309328148881,0.0024197407482855447,22,100,100,35850
8,0.85,0.5,0.0030353265475060406,0.05509379772266603,0.9972999691963196,0.004893468220229385,0.003900026321359961,18,100,100,44259
8,0.85,0.5,0.004446565827708846,0.06668257514305252,0.9957000017166138,0.006773253720561107,0.0054028817680734816,15,100,100,76594
8,0.85,0.5,0.006513944167356084,0.08070900920811805,0.9947999715805054,0.010487392659905321,0.008115130040700599,12,100,100,30393
8,0.85,0.5,0.009542525683758019,0.0976858520142913,0.9921999573707581,0.01499363590907869,0.011769665259799065,10,100,100,87387
8,0.85,0.5,0.013979210457700486,0.11823371117283127,0.9876999855041504,0.02245215791664724,0.017752049106962178,8,100,100,85164
8,0.85,0.5,0.020478679491876803,0.14310373682010125,0.9829999804496765,0.03206004865743774,0.024974624152524445,7,100,100,3691
8,0.85,0.5,0.03,0.17320508075688773,0.9756999611854553,0.048619036208656534,0.038351188672766864,6,100,100,22438
8,0.85,0.5,0.04947368421052632,0.22242680641174148,0.9531999826431274,0.09384765191613892,0.07598139106182102,4,100,100,90422
8,0.85,0.5,0.06894736842105263,0.26257830912139835,0.9205999970436096,0.16309171558862706,0.1351224519514792,4,100,100,35940
8,0.85,0.5,0.08842105263157896,0.29735677667001126,0.8413999676704407,0.3217492420196636,0.26811868689661605,3,100,100,76749
8,0.85,0.5,0.10789473684210528,0.3284733426658932,0.715499997138977,0.6199479758749706,0.5233706983643726,3,100,100,54906
8,0.85,0.5,0.12736842105263158,0.35688712648767756,0.5439000129699707,1.2025597180188667,0.9897985952047336,3,100,100,40890
8,0.85,0.5,0.14684210526315788,0.38319982419510307,0.3353999853134155,2.411013039285012,2.1463232215230477,3,100,100,1689
8,0.85,0.5,0.16631578947368422,0.4078183290065372,0.28209999203681946,2.8677986766360806,2.242046863476725,2,100,100,17376
8,0.85,0.5,0.18578947368421053,0.4310330308505492,0.15919999778270721,4.83197974756689,3.4874038510222354,2,100,100,66047
8,0.85,0.5,0.20526315789473684,0.45305977298225986,0.09259999543428421,7.6532573475321675,5.452982191334668,2,100,100,3360
8,0.85,0.5,0.22473684210526315,0.4740641750915831,0.03539999946951866,14.436333787438455,9.919118604382886,2,100,100,48480
8,0.85,0.5,0.2442105263157895,0.4941766144970738,0.014499999582767487,23.049221873855554,15.865870503402407,2,100,100,4160
8,0.85,0.5,0.26368421052631574,0.513501908980206,0.006300000008195639,34.73718611277658,24.36829633793419,2,100,100,13037
8,0.85,0.5,0.28315789473684216,0.5321258260382051,0.0024999999441206455,40.08497369650323,27.076176612145293,2,100,100,3310
8,0.85,0.5,0.3026315789473685,0.5501196042201809,0.0010999999940395355,52.74409451630339,40.343814481120596,2,100,100,22587
8,0.85,0.5,0.32210526315789473,0.5675431817561504,0.0008999999845400453,60.412229138037574,45.76453932910064,2,100,100,79049
8,0.85,0.5,0.3415789473684211,0.5844475574150525,0.00039999998989515007,81.91455117507249,66.26620503033195,2,100,100,26852
8,0.85,0.5,0.3610526315789474,0.6008765526952665,0.0004999999655410647,105.827499226282,167.04691472561004,2,100,100,85743
8,0.85,0.5,0.3805263157894737,0.616868151057804,0.00039999998989515007,110.80577230580182,164.44765366327496,2,100,100,57632
8,0.85,0.5,0.4,0.6324555320336759,9.999999747378752e-05,313.5172333954658,4963.942842049813,2,100,100,52332
8,0.85,1.0,1e-06,0.001,1.0,2.112384097944187e-06,1.6857898818234802e-06,1000,100,100,4019
8,0.85,1.0,1.4649382061914714e-06,0.0012103463166348181,1.0,3.0854416420289967e-06,2.477066047017852e-06,826,100,100,80369
8,0.85,1.0,2.1460439479594814e-06,0.0014649382061914698,1.0,4.542140685828144e-06,3.6349338411930616e-06,683,100,100,43429
8,0.85,1.0,3.1438217715318246e-06,0.0017730825619614629,1.0,6.883947376683608e-06,5.385771921995272e-06,564,100,100,67527
8,0.85,1.0,4.605504626573514e-06,0.0021460439479594807,1.0,1.004562294371283e-05,7.905342557986803e-06,466,100,100,41818
8,0.85,1.0,6.7467796862591274e-06,0.002597456387749201,1.0,1.4530660909586857e-05,1.1274297424347985e-05,385,100,100,62110
8,0.85,1.0,9.883615331157482e-06,0.0031438217715318217,1.0,2.0995589927492376e-05,1.6644107022980385e-05,318,100,100,77130
8,0.85,1.0,1.4478885713912363e-05,0.0038051131013298886,1.0,3.099998792438612e-05,2.4716282062483493e-05,263,100,100,30549
8,0.85,1.0,2.1210672865390052e-05,0.004605504626573515,1.0,4.465722148612415e-05,3.5384019965999745e-05,217,100,100,67671
8,0.85,1.0,3.1072325059538616e-05,0.005574255561017867,1.0,6.694016536134413e-05,5.2713339528049584e-05,179,100,100,5657
8,0.85,1.0,4.55190361349187e-05,0.0067467796862591195,1.0,9.626592628647473e-05,7.755656107616856e-05,148,100,100,76092
8,0.85,1.0,6.668257514305255e-05,0.008165939942410338,0.9998999834060669,0.00013900047525309845,0.00011107967306239008,122,100,100,76762
8,0.85,1.0,9.768585201429122e-05,0.009883615331157482,1.0,0.0002049461161078142,0.0001624695117059241,101,100,100,15983
8,0.85,1.0,0.00014310373682010125,0.011962597411101873,1.0,0.0003016360181264965,0.0002413799538127525,84,100,100,45830
8,0.85,1.0,0.0002096381315165353,0.014478885713912355,0.9997999668121338,0.00045144627706065994,0.0003617801795112264,69,100,100,76181
8,0.85,1.0,0.0003071069083331647,0.0175244659928103,0.9998999834060669,0.0006473952024433999,0.0005109082682713634,57,100,100,77157
8,0.85,1.0,0.00044989264340259425,0.02121067286539006,0.9993000030517578,0.0009810025332413637,0.0007809468909195419,47,100,100,576
